glove_red=1,avg_KD,avg_SIG_STR_pct,avg_SIG_STR_landed,avg_TOTAL_STR_att,avg_TOTAL_STR_landed,total_time_fought(seconds),total_rounds_fought,Height_cms,Reach_cms,Weight_lbs,age,winner_red=1_blue=0_draw=2
1,0.25,0.625625,20.3125,58.9375,47.3125,494.5,7,198.12,208.28,205,28,1
1,0.0703125,0.275703125,18.10546875,85.96875,36.2734375,677.859375,20,172.72,177.8,145,29,0
1,0.00390625,0.354614258,137.1044922,407.7133789,153.1762695,1395.839844,38,180.34,182.88,170,32,1
1,0.125,0.265,18.125,77,26.5,433.875,8,162.56,160.02,115,27,1
1,0,0.53625,70,144.125,101,611.125,8,167.64,175.26,125,30,0
1,1.25,0.62265625,52.625,106.15625,69.328125,502.140625,18,190.5,205.74,185,27,1
1,0,0.73,41.5,119,96,280.5,3,187.96,190.5,170,26,1
1,0.08438203,0.29617955,43.37113669,107.1130093,43.48195653,594.3883662,75,185.42,185.42,155,37,2
1,0,0.4375,64.75,154.125,71.5,900,12,165.1,162.56,125,32,1
1,0,0.57,4,29,26,398,2,170.18,175.26,145,30,1
1,0.5,0.45,22,70,24,469,4,165.1,170.18,135,31,0
1,0,0.47,49.5,91.5,52,597.5,4,167.64,167.64,135,29,1
1,0.0625,0.415,65.875,162.625,73.1875,871.25,15,172.72,190.5,135,32,1
1,0.5,0.4675,23.5,83.5,24.75,466,7,170.18,172.72,125,36,1
1,0.500244141,0.55189209,96.50146484,189.6044922,112.6677246,896.9880371,35,177.8,180.34,155,34,1
1,0,0.5028125,18.09375,50.0625,29.8125,404.9375,13,187.96,185.42,155,26,2
1,0,0.8,61.5,150,124.5,699,5,177.8,177.8,145,31,1
1,0.5,0.475,30,82,38.5,461,4,170.18,172.72,135,32,0
1,0,0.4465625,52.43359375,129.9765625,62.31640625,1043.332031,26,160.02,157.48,115,34,1
1,0.25,0.310546875,35.46875,185.2109375,84.8828125,898.625,25,170.18,175.26,125,37,1
1,0.265687943,0.472554452,57.11452985,137.6021936,80.20646644,697.3988283,51,185.42,195.58,205,39,1
1,1,0.5,27,53,27,213,1,172.72,180.34,155,30,1
1,,,,,,,0,187.96,190.5,262,29,1
1,0,0.42,9.5,36,16,374,3,182.88,185.42,155,28,0
1,0.595703125,0.479238281,73.73632813,207.9589844,125.1933594,717.8828125,25,182.88,182.88,170,31,1
1,0,0.4475,102,265.25,121.25,900,9,170.18,177.8,135,23,1
1,0.507858276,0.45113656,28.0273428,64.75900745,32.37361431,696.2733479,48,190.5,203.2,205,37,1
1,0.2578125,0.368046875,40.6953125,133.1289063,48.9296875,654.515625,18,167.64,167.64,145,34,1
1,0.75,0.53,36,76.5,43.5,646.25,7,185.42,185.42,170,26,1
1,0.25,0.47,60,138,70.75,837,9,162.56,172.72,125,33,1
1,0,0.52,22,128,85,900,3,185.42,198.12,185,30,1
1,0,0.31,24.5,93,41,900,6,180.34,170.18,135,31,0
1,0.632392883,0.768109589,58.19042969,99.37672424,80.56302643,703.0281601,37,193.04,203.2,265,40,1
1,0.078125,0.39796875,39.375,104.484375,44.28125,846.9375,18,182.88,187.96,185,30,0
1,0.053710938,0.458178711,64.88867188,151.8359375,67.32641602,1150.318359,36,193.04,193.04,205,32,0
1,0.00100708,0.477472534,31.08181763,66.47949219,38.10171509,492.1407776,35,172.72,180.34,145,38,1
1,0.024791718,0.564035959,63.90507698,143.4046516,74.10281372,1091.73927,63,180.34,187.96,170,38,0
1,0.5,0.3625,65.375,196.125,82.6875,749.5,14,170.18,182.88,125,30,0
1,0.51763916,0.52169693,83.68392897,153.6272545,87.30662251,797.7966471,58,177.8,185.42,145,32,1
1,0,0.4075,28.25,82.25,41,428,6,177.8,190.5,185,29,0
1,0.5,0.535,83,215.5,136.5,900,6,177.8,182.88,170,27,1
1,0,0.3,9,39,17,376,2,162.56,160.02,115,26,1
1,0,0.40125,27,86.75,45.625,400.75,8,165.1,170.18,115,28,1
1,0,0.29,16,54,16,349,2,185.42,185.42,225,36,0
1,,,,,,,0,177.8,190.5,170,27,0
